P-201912-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	P10iso(at/g/yr)	P10iso-unc(at/g/yr)	P10iso-included?	P26iso(at/g/yr)	P26iso-unc(at/g/yr)	P26iso-included?	Publication
25	boulder	SmaFab2016-5	RMOOR05	56.63400	-4.77700	326	std	3.00	2.65	0.9997	0	63988	1856	NIST_27900	0	0	0	2014	11764	500	3.772	0.194	-	-	-	-	3.802	0.196	-	-	-	-	Small and Fabel (2016)
25	boulder	SmaFab2016-6	RMOOR06	56.63400	-4.77500	323	std	1.50	2.65	0.9997	0	68674	1992	NIST_27900	0	0	0	2014	11764	500	4.011	0.207	X	-	-	-	4.043	0.208	X	-	-	-	Small and Fabel (2016)
26	bedrock	Fent2019-1	SPICE-A1	35.5944	-111.6342	1837	std	8	2.25	0.999	0	938000	43000	07KNSTD	0	0	0	2015	72000	2000	3.683	0.200	X	-	-	-	3.635	0.197	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-2	SPICE-A2	35.6056	-111.6175	1807	std	8	2.26	0.999	0	964000	47000	07KNSTD	0	0	0	2015	72000	2000	3.871	0.220	X	-	-	-	3.821	0.217	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-3	SPICE-A3	35.6100	-111.6137	1810	std	13	2.15	0.999	0	936000	43500	07KNSTD	0	0	0	2015	72000	2000	3.865	0.212	X	-	-	-	3.815	0.209	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-4	SPICE-A4	35.6121	-111.6098	1803	std	13	2.13	0.998	0	925000	44000	07KNSTD	0	0	0	2015	72000	2000	3.840	0.214	X	-	-	-	3.790	0.212	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-5	SPICE-A5	35.6163	-111.6081	1800	std	13	2.28	1	0	917000	43500	07KNSTD	0	0	0	2015	72000	2000	3.830	0.213	X	-	-	-	3.780	0.211	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-6	SPICE-A6	35.6245	-111.6057	1778	std	12	2.29	1	0	901000	43500	07KNSTD	0	0	0	2015	72000	2000	3.799	0.214	X	-	-	-	3.749	0.212	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-7	SPICE-A7	35.6164	-111.6087	1800	std	13	2.45	1	0	909000	43500	07KNSTD	0	0	0	2015	72000	2000	3.822	0.214	X	-	-	-	3.772	0.212	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-8	SPICE-A8	35.6326	-111.6068	1778	std	13	2.05	0.997	0	936000	45000	07KNSTD	0	0	0	2015	72000	2000	3.948	0.222	X	-	-	-	3.897	0.219	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-9	SPICE-A9	35.6094	-111.6135	1810	std	13	2.29	0.999	0	931000	44500	07KNSTD	0	0	0	2015	72000	2000	3.866	0.217	X	-	-	-	3.816	0.214	X	-	-	-	Fenton et al. (2019)
26	bedrock	Fent2019-10	SPICE-A10	35.6165	-111.6085	1800	std	12	2.31	0.999	0	975000	46000	07KNSTD	0	0	0	2015	72000	2000	4.054	0.225	X	-	-	-	4.002	0.222	X	-	-	-	Fenton et al. (2019)
